"requirement_id","audit_requirement","audit_screen_ids","surface_group","scope","classification","evidence_references","implementation_status","implementation_reference","automated_test_reference","test_status","validation_reference","visual_status","known_deviation_ids","notes","flow_id","deviation_reason"
"SCR-011","Explore Default / explore_default","011_explore_default","explore","native","CONFIRMED","evidence/screenshots/011_explore_default-20260801-131241.png;evidence/ui-xml/011_explore_default-20260801-131241.xml;screens/screen-specs/011_explore_default.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/ExploreScreen.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/011_explore_default-metrics.json","PASS","validation/current/011_explore_default.png;validation/diffs/011_explore_default-metrics.json","PASS_THRESHOLD","DEV-002;DEV-003;DEV-006","","F02;F08","Original editorial copy and illustrations were not authorized."
"SCR-012","Article Focused / article_focused","012_article_focused","article_focused","external_browser","CONFIRMED","evidence/screenshots/012_article_focused-20260801-131310.png;evidence/ui-xml/012_article_focused-20260801-131310.xml;screens/screen-specs/012_article_focused.json","IMPLEMENTED","app/src/main/java/com/sysadmindoc/nono/ui/ExploreScreen.kt;app/src/main/java/com/sysadmindoc/nono/ui/SettingsScreen.kt","","SAFE_INTENT_IMPLEMENTED","","NOT_APPLICABLE","DEV-006","External Chrome first-run screen reached by an article link; no browser onboarding was completed.","F08","External mutable article contents were out of native audit scope."
"SCR-013","History Empty / history_empty","013_history_empty","history","native","CONFIRMED","evidence/screenshots/013_history_empty-20260801-131338.png;evidence/ui-xml/013_history_empty-20260801-131338.xml;screens/screen-specs/013_history_empty.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/HistoryScreens.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/013_history_empty-metrics.json","PASS","validation/current/013_history_empty.png;validation/diffs/013_history_empty-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","F02;F06","System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-014","History Search Empty / history_search_empty","014_history_search_empty","history","native","CONFIRMED","evidence/screenshots/014_history_search_empty-20260801-131408.png;evidence/ui-xml/014_history_search_empty-20260801-131408.xml;screens/screen-specs/014_history_search_empty.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/HistoryScreens.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/014_history_search_empty-metrics.json","PASS","validation/current/014_history_search_empty.png;validation/diffs/014_history_search_empty-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","F06","System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-015","History Search No Results / history_search_no_results","015_history_search_no_results","history","native","CONFIRMED","evidence/screenshots/015_history_search_no_results-20260801-131430.png;evidence/ui-xml/015_history_search_no_results-20260801-131430.xml;screens/screen-specs/015_history_search_no_results.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/HistoryScreens.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/015_history_search_no_results-metrics.json","PASS","validation/current/015_history_search_no_results.png;validation/diffs/015_history_search_no_results-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","F06","System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-016","Settings Default / settings_default","016_settings_default","settings","native","CONFIRMED","evidence/screenshots/016_settings_default-20260801-131501.png;evidence/ui-xml/016_settings_default-20260801-131501.xml;screens/screen-specs/016_settings_default.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/SettingsScreen.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/016_settings_default-metrics.json","PASS","validation/current/016_settings_default.png;validation/diffs/016_settings_default-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-011","","F02;F10","Backup serialization and launcher shortcut publication were not observable and remain unimplemented."
"SCR-017","Settings Scrolled 1 / settings_scrolled_1","017_settings_scrolled_1","settings","native","CONFIRMED","evidence/screenshots/017_settings_scrolled_1-20260801-131523.png;evidence/ui-xml/017_settings_scrolled_1-20260801-131523.xml;screens/screen-specs/017_settings_scrolled_1.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/SettingsScreen.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/017_settings_scrolled_1-metrics.json","PASS","validation/current/017_settings_scrolled_1.png;validation/diffs/017_settings_scrolled_1-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-011","","F10","Backup serialization and launcher shortcut publication were not observable and remain unimplemented."
"SCR-018","Settings Scrolled 2 / settings_scrolled_2","018_settings_scrolled_2","settings","native","CONFIRMED","evidence/screenshots/018_settings_scrolled_2-20260801-131542.png;evidence/ui-xml/018_settings_scrolled_2-20260801-131542.xml;screens/screen-specs/018_settings_scrolled_2.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/SettingsScreen.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/018_settings_scrolled_2-metrics.json","PASS","validation/current/018_settings_scrolled_2.png;validation/diffs/018_settings_scrolled_2-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-011","","F10;F11","Backup serialization and launcher shortcut publication were not observable and remain unimplemented."
"SCR-019","Settings Scrolled 3 / settings_scrolled_3","019_settings_scrolled_3","settings","native","CONFIRMED","evidence/screenshots/019_settings_scrolled_3-20260801-131602.png;evidence/ui-xml/019_settings_scrolled_3-20260801-131602.xml;screens/screen-specs/019_settings_scrolled_3.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/SettingsScreen.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/019_settings_scrolled_3-metrics.json","PASS","validation/current/019_settings_scrolled_3.png;validation/diffs/019_settings_scrolled_3-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-011","","F10","Backup serialization and launcher shortcut publication were not observable and remain unimplemented."
"SCR-020","Settings Scrolled 4 / settings_scrolled_4","020_settings_scrolled_4","settings","native","CONFIRMED","evidence/screenshots/020_settings_scrolled_4-20260801-131628.png;evidence/ui-xml/020_settings_scrolled_4-20260801-131628.xml;screens/screen-specs/020_settings_scrolled_4.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/SettingsScreen.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/020_settings_scrolled_4-metrics.json","PASS","validation/current/020_settings_scrolled_4.png;validation/diffs/020_settings_scrolled_4-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-011","","F10","Backup serialization and launcher shortcut publication were not observable and remain unimplemented."
"SCR-021","Mute Mode Dialog / mute_mode_dialog","021_mute_mode_dialog","mute_mode_dialog","native","CONFIRMED","evidence/screenshots/021_mute_mode_dialog-20260801-131739.png;evidence/ui-xml/021_mute_mode_dialog-20260801-131739.xml;screens/screen-specs/021_mute_mode_dialog.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/SignalOverlay.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/021_mute_mode_dialog-metrics.json","PASS","validation/current/021_mute_mode_dialog.png;validation/diffs/021_mute_mode_dialog-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","F10","System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-022","Mute Importance Dialog / mute_importance_dialog","022_mute_importance_dialog","mute_importance_dialog","native","CONFIRMED","evidence/screenshots/022_mute_importance_dialog-20260801-131814.png;evidence/ui-xml/022_mute_importance_dialog-20260801-131814.xml;screens/screen-specs/022_mute_importance_dialog.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/SignalOverlay.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/022_mute_importance_dialog-metrics.json","PASS","validation/current/022_mute_importance_dialog.png;validation/diffs/022_mute_importance_dialog-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","F10","System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-023","Notification History Dialog / notification_history_dialog","023_notification_history_dialog","history_storage_dialog","native","CONFIRMED","evidence/screenshots/023_notification_history_dialog-20260801-131900.png;evidence/ui-xml/023_notification_history_dialog-20260801-131900.xml;screens/screen-specs/023_notification_history_dialog.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/SignalOverlay.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/023_notification_history_dialog-metrics.json","PASS","validation/current/023_notification_history_dialog.png;validation/diffs/023_notification_history_dialog-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","F10","System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-024","History Retention Dialog / history_retention_dialog","024_history_retention_dialog","history_retention_dialog","native","CONFIRMED","evidence/screenshots/024_history_retention_dialog-20260801-131928.png;evidence/ui-xml/024_history_retention_dialog-20260801-131928.xml;screens/screen-specs/024_history_retention_dialog.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/SignalOverlay.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/024_history_retention_dialog-metrics.json","PASS","validation/current/024_history_retention_dialog.png;validation/diffs/024_history_retention_dialog-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","F10","System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-025","Create Shortcut Empty / create_shortcut_empty","025_create_shortcut_empty","shortcut_editor","native","CONFIRMED","evidence/screenshots/025_create_shortcut_empty-20260801-132011.png;evidence/ui-xml/025_create_shortcut_empty-20260801-132011.xml;screens/screen-specs/025_create_shortcut_empty.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/SettingsScreen.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/025_create_shortcut_empty-metrics.json","PASS","validation/current/025_create_shortcut_empty.png;validation/diffs/025_create_shortcut_empty-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-011","","F10","Backup serialization and launcher shortcut publication were not observable and remain unimplemented."
"SCR-026","Automatic Backups Dialog / automatic_backups_dialog","026_automatic_backups_dialog","automatic_backups_dialog","external_system","CONFIRMED","evidence/screenshots/026_automatic_backups_dialog-20260801-132103.png;evidence/ui-xml/026_automatic_backups_dialog-20260801-132103.xml;screens/screen-specs/026_automatic_backups_dialog.json","BEHAVIORALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/OnboardingScreen.kt;app/src/main/java/com/sysadmindoc/nono/ui/SettingsScreen.kt","validation/reports/permission-step-0.xml;validation/reports/permission-listener-settings.xml;validation/reports/permission-complete-home.xml","DEVICE_HANDOFF_PASS","","NOT_APPLICABLE","DEV-008;DEV-011","External Android system folder picker; no folder was selected.","F10;F11","Android owns and renders the destination UI; the replica invokes the corresponding public intent."
"SCR-027","Theme Dialog / theme_dialog","027_theme_dialog","theme_dialog","native","CONFIRMED","evidence/screenshots/027_theme_dialog-20260801-132135.png;evidence/ui-xml/027_theme_dialog-20260801-132135.xml;screens/screen-specs/027_theme_dialog.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/SignalOverlay.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/027_theme_dialog-metrics.json","PASS","validation/current/027_theme_dialog.png;validation/diffs/027_theme_dialog-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","F10","System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-028","Language System / language_system","028_language_system","language_dialog","native","CONFIRMED","evidence/screenshots/028_language_system-20260801-132206.png;evidence/ui-xml/028_language_system-20260801-132206.xml;screens/screen-specs/028_language_system.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/SignalOverlay.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/028_language_system-metrics.json","PASS","validation/current/028_language_system.png;validation/diffs/028_language_system-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","F10","System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-029","Rule Builder Default / rule_builder_default","029_rule_builder_default","rule_builder","native","CONFIRMED","evidence/screenshots/029_rule_builder_default-20260801-132257.png;evidence/ui-xml/029_rule_builder_default-20260801-132257.xml;screens/screen-specs/029_rule_builder_default.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/SignalOverlay.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/029_rule_builder_default-metrics.json","PASS","validation/current/029_rule_builder_default.png;validation/diffs/029_rule_builder_default-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","F03","System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-030","App Selector / app_selector","030_app_selector","app_selector","native","CONFIRMED","evidence/screenshots/030_app_selector-20260801-132335.png;evidence/ui-xml/030_app_selector-20260801-132335.xml;screens/screen-specs/030_app_selector.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/RulesScreens.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/030_app_selector-metrics.json","PASS","validation/current/030_app_selector.png;validation/diffs/030_app_selector-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","F03","System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-031","App Selector Search / app_selector_search","031_app_selector_search","app_selector","native","CONFIRMED","evidence/screenshots/031_app_selector_search-20260801-132417.png;evidence/ui-xml/031_app_selector_search-20260801-132417.xml;screens/screen-specs/031_app_selector_search.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/RulesScreens.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/031_app_selector_search-metrics.json","PASS","validation/current/031_app_selector_search.png;validation/diffs/031_app_selector_search-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","F03","System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-032","Condition Match Type Dialog / condition_match_type_dialog","032_condition_match_type_dialog","condition_builder","native","CONFIRMED","evidence/screenshots/032_condition_match_type_dialog-20260801-132508.png;evidence/ui-xml/032_condition_match_type_dialog-20260801-132508.xml;screens/screen-specs/032_condition_match_type_dialog.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/RulesScreens.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/032_condition_match_type_dialog-metrics.json","PASS","validation/current/032_condition_match_type_dialog.png;validation/diffs/032_condition_match_type_dialog-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","F03","System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-033","Phrase Filter Editor / phrase_filter_editor","033_phrase_filter_editor","condition_builder","native","CONFIRMED","evidence/screenshots/033_phrase_filter_editor-20260801-132531.png;evidence/ui-xml/033_phrase_filter_editor-20260801-132531.xml;screens/screen-specs/033_phrase_filter_editor.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/RulesScreens.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/033_phrase_filter_editor-metrics.json","PASS","validation/current/033_phrase_filter_editor.png;validation/diffs/033_phrase_filter_editor-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","Repeat capture of the content-filter editor after a missed tap; not a new surface.","","System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-034","Phrase Filter Input / phrase_filter_input","034_phrase_filter_input","phrase_editor","native","CONFIRMED","evidence/screenshots/034_phrase_filter_input-20260801-132610.png;evidence/ui-xml/034_phrase_filter_input-20260801-132610.xml;screens/screen-specs/034_phrase_filter_input.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/RulesScreens.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/034_phrase_filter_input-metrics.json","PASS","validation/current/034_phrase_filter_input.png;validation/diffs/034_phrase_filter_input-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","F03","System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-035","Filter With Phrase / filter_with_phrase","035_filter_with_phrase","condition_builder","native","CONFIRMED","evidence/screenshots/035_filter_with_phrase-20260801-132659.png;evidence/ui-xml/035_filter_with_phrase-20260801-132659.xml;screens/screen-specs/035_filter_with_phrase.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/RulesScreens.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/035_filter_with_phrase-metrics.json","PASS","validation/current/035_filter_with_phrase.png;validation/diffs/035_filter_with_phrase-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","","System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-036","Extras Filter Selector / extras_filter_selector","036_extras_filter_selector","nested_filter_group","native","CONFIRMED","evidence/screenshots/036_extras_filter_selector-20260801-132743.png;evidence/ui-xml/036_extras_filter_selector-20260801-132743.xml;screens/screen-specs/036_extras_filter_selector.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/RulesScreens.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/036_extras_filter_selector-metrics.json","PASS","validation/current/036_extras_filter_selector.png;validation/diffs/036_extras_filter_selector-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","F03","Extra properties and the filter operator are shown disabled: nothing evaluates them, so a rule carrying one could never match. System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-037","Extras Filter Selector Scrolled / extras_filter_selector_scrolled","037_extras_filter_selector_scrolled","nested_filter_group","native","CONFIRMED","evidence/screenshots/037_extras_filter_selector_scrolled-20260801-132825.png;evidence/ui-xml/037_extras_filter_selector_scrolled-20260801-132825.xml;screens/screen-specs/037_extras_filter_selector_scrolled.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/RulesScreens.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/037_extras_filter_selector_scrolled-metrics.json","PASS","validation/current/037_extras_filter_selector_scrolled.png;validation/diffs/037_extras_filter_selector_scrolled-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","","Extra properties and the filter operator are shown disabled: nothing evaluates them, so a rule carrying one could never match. System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-038","Extras Filter Selector Bottom / extras_filter_selector_bottom","038_extras_filter_selector_bottom","nested_filter_group","native","CONFIRMED","evidence/screenshots/038_extras_filter_selector_bottom-20260801-132901.png;evidence/ui-xml/038_extras_filter_selector_bottom-20260801-132901.xml;screens/screen-specs/038_extras_filter_selector_bottom.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/RulesScreens.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/038_extras_filter_selector_bottom-metrics.json","PASS","validation/current/038_extras_filter_selector_bottom.png;validation/diffs/038_extras_filter_selector_bottom-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","","Extra properties and the filter operator are shown disabled: nothing evaluates them, so a rule carrying one could never match. System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
"SCR-039","Filter Group Default / filter_group_default","039_filter_group_default","nested_filter_group","native","CONFIRMED","evidence/screenshots/039_filter_group_default-20260801-132933.png;evidence/ui-xml/039_filter_group_default-20260801-132933.xml;screens/screen-specs/039_filter_group_default.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/RulesScreens.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/039_filter_group_default-metrics.json","PASS","validation/current/039_filter_group_default.png;validation/diffs/039_filter_group_default-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","F03","Extra properties and the filter operator are shown disabled: nothing evaluates them, so a rule carrying one could never match. System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
